(u'Voorhees, NJ', '|', u'Trumpbots at @FoxNews (by no means all-inclusive, sadly) #nevertrump https://t.co/xPLLzuFs74', 'Trump')
(u'Reynoldsburg, OH', '|', u"@Trey_Parker trump's hair controls his brain..but in fact trump's a peace hippie", 'Trump')
(u'Indiana, USA', '|', u"@PartingThots @realDonaldTrump @becker_berta @vivhall3 @Reince I'M GONE", 'Trump')
(u'Reynoldsburg, OH', '|', u'@Trey_Parker manbearpig is trump', 'Trump')
(u'Bogart, GA', '|', u'I sure hope this hearing is televised. GOPe is very interested. #FollowTheMoney @realDonaldTrump #StopTheSteal https://t.co/fs3t1qBs47', 'Trump')
(u'Jefferson City, MO', '|', u'@realDonaldTrump #WomenForTrump #StopTheSteal https://t.co/HZV8tw7tiR', 'Trump')
(u'Bellerose, NY', '|', u"So Trump said we're supposed to be a democracy? The man who wants to be #POTUS doesn't know the US is a Republic? #NeverTrump #CruzCrew", 'Trump')
(u'Reynoldsburg, OH', '|', u'@Trey_Parker jabba the hut takes over trump tower', 'Trump')
(u'Akron, OH', '|', u"@EricaGrieder Trump is a notorious cheapskate, which is y he'd be a terrible president.  He'd spend like no president has ever spent before", 'Trump')
(u'Reynoldsburg, OH', '|', u'@Trey_Parker close encounter of the trump kind', 'Trump')
(u'Fort Worth, TX', '|', u'Donald J. Trump calls The Boston Globe "worthless" in response to satire https://t.co/vZVIX1D3zP', 'Trump')
(u'Kentucky, USA', '|', u'#Trump in 2016 Temp:55.0\xb0F Wind:7.6mph Pressure: 30.00hpa Steady Rain Today 0.00in.  Forecast: Fine, possible showers', 'Trump')
(u'Chicago, IL', '|', u'Join the Trump Hotels team! See our latest #Hospitality #job opening here: https://t.co/do8KxWPzn3 #Chicago, IL #Hiring', 'Trump')
(u'Marion, IA', '|', u'@realDonaldTrump Cruz stated many times that there would not be brokered convention The Voters Will Decide You should play those clips often', 'Trump')
(u'Avon Lake, OH', '|', u'@realDonaldTrump @nytimes STOP TWEETING !! How do you not know this by now? You are running for President..act presidential', 'Trump')
(u'Tempe, AZ', '|', u'As they search for opportunities for a better life something we all do every day including @realDonaldTrump  https://t.co/aCdcqxLQaD', 'Trump')
(u'Memphis, TN', '|', u'but I forgot. Yall love fuck boys as much as I love slut bitches. So continue listening to your fuck boy music *types in Teanna Trump*', 'Trump')
(u'South Bend, IN', '|', u"@realDonaldTrump Heidi Cruz sell off of America's gas n oil &amp; No Amer Union this gal will sit this vote out if Ted is GOP nominee!!", 'Trump')
(u'North Patchogue, NY', '|', u'Trump has always been a liberal who has cared about nothing but himself https://t.co/wEWyo6ERII', 'Trump')
(u'Pikesville, MD', '|', u'@tnindy09 @Amy_Siskind At sign of first vet NYDaily News had #Trump-like tantrum but/had suspended clean campaign well be4=hypocrite period', 'Trump')
(u'Vermont, USA', '|', u'@Dad_Trump2 @ConservativeGM @swebs @kimmie99 @lifecoachcathy is Trump lyin on H/C mandate,abortion,immigration,1 time wealth tax,both sides', 'Trump')
(u'West Bloomfield Township, MI', '|', u'Dear Trump Supporters https://t.co/Hg0hUmCk7q via @youtube', 'Trump')
(u'Pennsylvania, USA', '|', u"Thanks for the advice I'll stand by the man I belive in ! #AlwaysTrump https://t.co/xFdQdKakgM", 'Trump')
(u'Bloomfield, NJ', '|', u'@BarackObama @HillaryClinton @realDonaldTrump  First thing Brim thankyou for letting me take my grandfather company back thankyou', 'Trump')
(u'Kentucky, USA', '|', u'#Trump in 2016 Temp:55.0\xb0F Wind:7.4mph Pressure: 30.00hpa Steady Rain Today 0.00in.  Forecast: Fine, possible showers', 'Trump')
(u'Texas, USA', '|', u'@realDonaldTrump @Poquelin4 Learn the rules #Trump - or get out of the race. Do us all a favor.', 'Trump')
(u'Brewster, MA', '|', u'Uhh Trump, Hillary is up millions of votes. Hullo', 'Trump')
(u'Patchogue, NY', '|', u"Trumpers don't rely on facts. They hate facts. If they dealt with facts, they couldn't continue to support Trump  https://t.co/IhIXhMtiJd", 'Trump')
(u'New Palestine, IN', '|', u"@patsman1949 @realDonaldTrump @AnnCoulter Yes,that's exactly what we need.19tril in debt?Vote a real American for Americans Vote Trump/Cruze", 'Trump')
(u'Romulus, MI', '|', u"I've heard more Trump in airports in then last two months than anywhere else because I can't escape it.", 'Trump')
(u'Texas, USA', '|', u"@gntlman @WEdwarda @Skylerblue454 Well we can't expect his royal highness to work for anything can we? #NeverTrump #CruzCrew", 'Trump')
(u'Brewster, MA', '|', u'Have ditched msnbc for al jeezera. No more Bernie and Trump pandering. Fuck that shit. World news better.', 'Trump')
(u'Pikesville, MD', '|', u'#msnbc #morningjoe bar so low for #Trump @JoeNBC applauds him for being quiet,nursing wounds from loss Wisconsin-usual Trump promo/rationale', 'Trump')
(u'New Palestine, IN', '|', u"@patsman1949 @realDonaldTrump @AnnCoulter Love Cruze but he wouldn't even be on stage if it were not for Trumps strength at fighting Libs", 'Trump')
(u'Toledo, OH', '|', u'@TIME "THIS IS A WHOLE DIFFERENT WAR IN SO MANY WAYS, LOST 3 FRIENDS  IN 1968-1969 IN VIET-NAM, WHERE WAS TRUMP???, PROTECTING HIS MONEY"!!', 'Trump')
(u'Pennsylvania, USA', '|', u'Colorado GOP Deletes #NeverTrump Tweet After Ted Cruz Sweeps Delegates \nhttps://t.co/aQ0xlBnAuA https://t.co/Hr25qozhRg', 'Trump')
(u'Manhattan, IL', '|', u'@Campaign_Trump. Are you kidding me.', 'Trump')
(u'Pikesville, MD', '|', u'@JoeNBC the partisan hack,pushing #Trump making big deal of his quiet as if is qualification,bashing Cruz-up next #HRC Obamabash-TO #cnn', 'Trump')
(u'Texas, USA', '|', u"@gntlman @WEdwarda @Skylerblue454 I know- I'm so burnt out already. If I look at one more orange faced picture of #Trump I'm gonna hurl.", 'Trump')
(u'Wilson, NC', '|', u'tired of hearing Trump complain about mistreatment.Maybe more focus on explaining his "plans" and less complaining  https://t.co/CeAInslvvd', 'Trump')
(u'Akron, OH', '|', u'Trump on @foxandfriends again.  Home sweet home.', 'Trump')
(u'Maryland, USA', '|', u'Gee will FOX parrot the narrative that @realDonaldTrump lost Colorado because he had no ground game or the truth primary/caucus is canceled', 'Trump')
(u'New York, USA', '|', u'Welcome #Sanders #Trump and #Kasich to the only city with a Museum of Political Corruption. #Albany, NY, home of (future) good government!', 'Trump')
(u'Alabama, USA', '|', u'GET OFF YOUR ASS!! STOP BITCHING!!! GO VOTE!!!\n#TRUMP2016 https://t.co/kh1bwmGVC5', 'Trump')
(u'Bloomfield, NJ', '|', u'PNC PANTHER BANKING @BillGates @realDonaldTrump  @JDMahama', 'Trump')
(u'East Brunswick, NJ', '|', u'@realDonaldTrump very unfair to the people they should really show their anger', 'Trump')
(u'Maryland, USA', '|', u'No FOX is lying saying that Colorado had a caucus and Trump lost because he had no ground game. FOX IS SCUM!!!', 'Trump')
(u'Greenville, MI', '|', u"The government will do anything to make sure Trump loses. They cancelled Colorado's caucus. But still gave Cruz the delegates? How? Corrupt.", 'Trump')
(u'Milton, GA', '|', u'@sobobrova44896 So silly!  Maybe MLK Jr. would have loved Trump!  They both wanted/want to make America great again!', 'Trump')
(u'North Carolina, USA', '|', u'@Alphabitch27 Cruz is corrupt liar you are mistaken to support him so stick your never trump where the sun dont shine bitch,youre well named', 'Trump')
(u'New York, USA', '|', u'Trump, Kasich, and Sanders. Full details at 7. https://t.co/yvZuTvqc10', 'Trump')
(u'Texas, USA', '|', u"@R_Love317 @PeculiarBaptist @DRUDGE I admit their rules are strange to each state has the right to set them so #Trump's point is moot.", 'Trump')
(u'Norfolk, VA', '|', u'@Morning_Joe is Trump paying Joe?', 'Trump')
(u'Farmington Hills, MI', '|', u"@realDonaldTrump @NeilTurner_ it started in Iowa &amp; continues thru Colorado, it's called DC Cartel politics. Just ask #LyinTed. #Trump2016", 'Trump')
(u'Sag Harbor, NY', '|', u"Donald Trump plays by the republican playbook. He holds a magnifying mirror up to them. They don't like what they see. #morningjoe", 'Trump')
(u'North Carolina, USA', '|', u"@realDonaldTrump @Genie115 We need Trump to make America Great again!  All people have rights but, transgender bathroom's are wrong!", 'Trump')
(u'South Lockport, NY', '|', u'I agree that our voting system is corrupt, Cruz is hitler he dictates not trump ! Cruz is the devil and is doing anything people , be carefu', 'Trump')
(u'Texas, USA', '|', u'@gntlman @WEdwarda @Skylerblue454 They have nothing but lies and Trump whining points. So over it.', 'Trump')
(u'Wisconsin, USA', '|', u"@foxnews You keep showing the fake Boston Globe on @realDonaldTrump , why don't u keep showing the real NE on #CruzSexScandal?", 'Trump')
(u'Milton, GA', '|', u'@follysurfangel1 Cruz thinks he is going to screw over Trump....trust me, Cruz will be the one screwed in the end bc we will never vote Cruz', 'Trump')
(u'Kentucky, USA', '|', u'#Trump in 2016 Temp:54.9\xb0F Wind:6.0mph Pressure: 30.03hpa Rising slowly Rain Today 0.00in.  Forecast: Fine weather', 'Trump')
(u'Troy, MI', '|', u'Vicente Fox comenta sobre Donald Trump\n\nhttps://t.co/ioZDhf20Qd', 'Trump')
(u'Texas, USA', '|', u'@gntlman @WEdwarda @Skylerblue454 OY - Just had to Block another #Trumpanzee...', 'Trump')
(u'New York, USA', '|', u"Memo to: @RealDonaldTrump @JohnKasich @BernieSanders\nYou're entering a cleaning up govt zone. Albany's Museum of Political Corruption.", 'Trump')
(u'Lansing, MI', '|', u'I had a dream that I was pregnant and my parents were Trump supporters. Such a train wreck of a nightmare. Somebody hold me.', 'Trump')
(u'Troy, MI', '|', u'Vicente Fox comenta sobre Donald Trump\n\nhttps://t.co/l2Dt28H98H', 'Trump')
(u'Iowa, USA', '|', u'@realDonaldTrump I stand behind your position on the Colorado Republican delegate sham voting, what a crooked system.', 'Trump')
(u'Eden, NC', '|', u"@foxandfriends it's about the people's vote, not some 'not Trump' delegates!", 'Trump')
(u'North Patchogue, NY', '|', u"Trump supporters don't like to be faced with facts. If they deal with facts, they can't continue to support the Don https://t.co/7YW5JeTzhb", 'Trump')
